datetime,temp
01/01/2018,21.73
02/01/2018,21.57
03/01/2018,21.13
04/01/2018,21.92
05/01/2018,20.86
06/01/2018,22.74
07/01/2018,21.01
08/01/2018,21.89
09/01/2018,20.4
10/01/2018,21.34
11/01/2018,20.5
12/01/2018,21.19
13/01/2018,19.85
14/01/2018,19.96
15/01/2018,20.72
16/01/2018,18.75
17/01/2018,20.21
18/01/2018,20.4
19/01/2018,20.93
20/01/2018,20.83
21/01/2018,20.25
22/01/2018,19.23
23/01/2018,20.56
24/01/2018,21.07
25/01/2018,20.56
26/01/2018,19.59
27/01/2018,20.26
28/01/2018,18.89
29/01/2018,20.79
30/01/2018,19.32
31/01/2018,20.19
